	logFC	logCPM	F	PValue	FDR
HRA1	0.872549041599467	1.99457068356703	65.9564117722275	1.26128954353131e-12	5.8697026816875e-12
ICR1	-0.0455876860493486	4.43041852364925	0.962745672339874	0.465570125568177	0.527871873280573
LSR1	0.0435147865626993	4.49061445341822	0.0810278567440559	0.776499265759096	0.812457956589551
NME1	-0.176798413976006	1.79995709460235	1.44822134682269	0.231661139387228	0.285469950485045
NTS1-2	-2.30967403137288	5.37097969080819	530.207444295297	1.02957449749447e-41	3.50842981769152e-40
NTS2-1	0.404761713028004	6.78271014688124	36.1799310564163	2.97978658007418e-08	9.50969760150594e-08
NTS2-2	0.421855793595958	6.76270222353504	37.0869334237973	2.12054681491067e-08	6.91979588581001e-08
PWR1	0.627111464479867	1.98409539453172	36.6157751370587	2.52964225139349e-08	8.17349693248176e-08
Q0045	-0.704972019867457	-0.483107368585113	3.71876301984792	0.0566466166680884	0.0804116324931025
Q0085	-0.82207365763708	-1.01912898778285	4.16830986116937	0.0438261041100806	0.0634400151417044
Q0105	-1.11148485211428	-1.01927323530435	8.43975290273594	0.00452154164100106	0.0077483741888658
Q0130	-0.48112850205465	-0.370736681440514	2.45906554411103	0.120014401665992	0.159002450959089
Q0250	-0.306022778221284	-0.75571902748494	0.719693797453638	0.398275035307855	0.461815381216026
Q0255	-0.564407368045412	-1.22929430733269	5.37509336893604	0.14532946011352	0.188885892719447
Q0275	0.0235518409909307	-0.867647840334039	0.00336835781902994	0.953834790447757	0.962010957986772
RDN5-1	-0.072512387866672	3.03904885337198	0.0873654605758207	0.768167778906234	0.805362183802837
RDN5-2	-0.355030470951296	3.15928567431547	2.54580795037158	0.113750067436323	0.151343166318095
RDN5-3	-0.43847364566753	3.010058395639	3.02957522378359	0.0848423389516633	0.116127485887307
RDN5-4	-0.434434113358206	3.06172067706136	3.33018042695966	0.0710115689764889	0.0988235090688205
RDN5-5	-0.449579170933961	3.00280759626004	3.50117153445801	0.0642554919803026	0.0900443253908241
RDN5-6	-0.210543421222211	2.71660322008297	0.514526212622179	0.474861996455385	0.536942776046379
RNA170	-0.512912834801369	1.13764956810325	18.8400114142188	5.25476111006567e-05	0.000118856330367681
RPR1	1.24462555173302	2.54832889061483	55.7750821174791	3.13324025031196e-11	1.31398024216176e-10
RUF20	-0.188887843541669	4.58671032866934	3.62297114701893	0.0598690717478009	0.0844095707481996
RUF21	-0.178198115313232	3.27571970457559	0.609120132846342	0.43696696819034	0.499803010571342
RUF22	0.41250176585202	-1.21498270992449	2.45385729975644	0.313789995006133	0.374936656228826
RUF23	-0.302333460053976	0.0860184950564889	2.59818812218575	0.110144869547633	0.147079958565104
RUF5-1	0.45316147989772	7.73436491758715	57.980061933795	1.53438415754174e-11	6.56270206202353e-11
RUF5-2	0.455773586863696	7.73280295983116	61.6144283320372	4.83730766510537e-12	2.15930211879722e-11
SCR1	0.137143664316854	5.67670374043355	0.219076868784094	0.640765032575774	0.692394861053981
SRG1	1.24134282269534	4.55413896326292	241.722701128137	2.07220676362913e-28	3.35643672155617e-27
ST15S_rRNA	-0.232752333123173	1.30386392093259	0.496370404640957	0.482740562661529	0.544666211101374
ST21S_rRNA	0.0853566277185039	3.63689110046366	0.0924328963888792	0.761739865393731	0.800642137299058
TLC1	-0.189706779096473	7.32384401315667	14.9442178706035	0.000284366574692455	0.000582367802884122
YAL001C	-0.381924673039859	5.95845796828054	108.733779111905	3.58904986762177e-13	1.73229992062611e-12
YAL002W	0.106255759749693	5.72104284626574	5.9049010994384	0.0449823669885185	0.0649328797547225
YAL003W	0.871380102547379	9.87909977300724	206.251772061233	5.04480014571988e-26	6.78003743722181e-25
YAL005C	0.847765086626589	10.6426065761454	107.972384033464	1.41165749306894e-17	9.65251768287051e-17
YAL007C	-0.235351281290981	6.92735553676844	24.6997953006474	5.93566513021879e-06	1.50834587416644e-05
YAL008W	-0.228199422329506	5.58120476922746	14.023687092383	0.000302173466508466	0.000615600698185819
YAL009W	-0.238459575643807	5.34390453205626	34.1161377266536	1.41684572903239e-05	3.42857973079005e-05
YAL010C	-0.0662323714099856	5.30594984177942	2.31791063673064	0.228814323984394	0.282758893946829
YAL011W	-0.327350520043031	5.63206261303645	108.110916017983	9.38705308802538e-10	3.43329402093409e-09
YAL012W	-0.27643921206492	9.39141100174562	33.5109773750449	4.34781571080788e-06	1.11713962804277e-05
YAL013W	-0.360105788416589	7.29868282460559	51.1400577491128	1.45557107380575e-10	5.78517604605013e-10
YAL014C	-0.305583881320157	7.05086814104963	43.9858272882689	4.40706671918365e-09	1.53191014831824e-08
YAL015C	-0.545191225187041	5.84858151562384	271.53409273275	7.85325219580845e-25	9.58373399081438e-24
YAL016W	0.0456447337979747	7.61368426653614	0.976416654107568	0.385790769226856	0.449176855283546
YAL017W	-0.0979620550222832	7.12401769006372	6.12642191951784	0.0597417790198462	0.0843063439619283
YAL018C	0.00778284292671771	-0.512399913797065	0.00084631565702026	0.976849721745934	0.980443685337443
YAL019W	0.550592211014887	6.20358942431284	74.2915106455835	1.05483652880689e-13	5.3349234336089e-13
YAL020C	-0.140900309472409	6.7081283645895	3.12693582159675	0.0800647720137189	0.110192875364721
YAL021C	0.2048552568902	7.16074808094996	11.2613471820178	0.00112048138503734	0.00210715377475659
YAL022C	-0.150249315885718	6.95226165644281	6.98394606222761	0.00955085296144606	0.0155263605494206
YAL023C	0.0535436480348444	8.66454541385128	3.16293211325656	0.340507939076548	0.402847184230953
YAL024C	-0.204437270245012	4.94776689567477	17.1144642685062	0.000396896850366592	0.000796604042126189
YAL025C	1.21314950136871	6.58284270474886	157.315255972078	3.15046428482232e-22	3.22070414428721e-21
YAL026C	-0.106716833297603	6.98227125527114	12.2402625829071	0.0399440768331139	0.0584035786943255
YAL027W	0.0335530585458439	5.02889999227921	1.12520385917768	0.556062931139908	0.613736006829817
YAL028W	-0.231970106387754	5.73141735326083	24.2935133543147	1.23893153492373e-05	3.01090298198923e-05
YAL029C	0.0296699086401145	7.15455555823894	0.859918743390025	0.568547344873311	0.625412108419468
YAL030W	-0.354199874336939	6.38679685957397	40.7658331005909	5.46890411122414e-09	1.88942304917417e-08
YAL031C	-0.375489756144781	6.30948295469191	59.7746752185027	8.64762878583692e-12	3.76845654147303e-11
YAL032C	-0.331951111417932	6.20380649978	80.3231696666172	1.74081985335509e-10	6.86638368470737e-10
YAL033W	0.236496989873212	4.90403283624779	27.020850126568	4.70661604959581e-05	0.000107157567306606
YAL034C	-0.161896622197995	6.15654267720692	5.61067779550376	0.0197773775793998	0.0305730606309215
YAL034W-A	-0.332621124626467	4.34071780212121	37.7917519993372	1.67641493761858e-07	4.96868990066038e-07
YAL035W	0.387273117972429	8.92666914185311	63.9925638685582	1.94269466595081e-11	8.25476493877349e-11
YAL036C	0.652873059202055	5.88969482172164	96.2758420588917	2.61274891754292e-16	1.59736296566644e-15
YAL037C-A	0.697905304527737	2.86503544547668	6.13073622685751	0.0149685389891084	0.0236313440850835
YAL037W	-0.529677330868622	2.96827729306361	49.9707070811686	3.36817429235909e-10	1.29334574428271e-09
YAL038W	0.897277234557306	13.2194266172551	247.040437072554	9.55703541644994e-29	1.58084012883241e-27
YAL039C	-0.045696280509525	7.8287465934377	0.552482015096008	0.459051960672199	0.520860266876243
YAL040C	0.0418984554219893	6.56623584048221	0.189697849395963	0.664108997751723	0.713539577873836
YAL041W	-0.00756095758293725	6.34611525882511	0.016189506673298	0.899008116816671	0.916947107698521
YAL042W	-0.0411541749147643	9.1031257210663	0.331323616562288	0.566176692786308	0.623904904791556
YAL043C	-0.0736703250126917	6.70913915370174	2.80284146541194	0.155206147176059	0.200469248920858
YAL044C	1.04698318897639	7.05424159205767	164.625730456498	7.71319294507402e-23	8.29301227680717e-22
YAL044W-A	-0.363170777760666	5.63190665591213	50.8618607253869	1.59864208194831e-10	6.3255913851711e-10
YAL046C	-0.0834335909713216	5.06746233964599	0.859208237120613	0.356197152778493	0.418550112064571
YAL047C	-0.122138892806508	4.60344487754201	10.5755216410459	0.0447977775583355	0.0647263533025441
YAL048C	0.354739705449453	4.23824393185144	36.0334354950866	3.74273548885618e-08	1.18656321853112e-07
YAL049C	-0.335720299230951	6.43760097013236	89.5602901936032	1.03222879441775e-10	4.16632929578583e-10
YAL051W	-0.0954541070927712	5.84836592206946	5.99943299495107	0.0699956896400899	0.0975185702849867
YAL053W	-0.489419840914578	8.7630483007226	101.044801854227	7.78574820481933e-17	4.96949087054794e-16
YAL054C	-0.612912124130003	5.41131188189803	128.335417450699	1.27999513760565e-19	1.04751308111665e-18
YAL055W	-0.325060091354278	5.62082631568152	27.7727530681793	7.8999304589212e-07	2.19830282649856e-06
YAL056W	-0.304575753056396	7.17515683797501	140.997902284682	5.1500664229637e-09	1.78322122229881e-08
YAL058W	0.0578628380762723	5.44034385892325	3.05952319401493	0.286976723083888	0.345880719975092
YAL059W	0.939483158856376	4.87244461740099	93.8713938438095	4.8659118819781e-16	2.90371545416415e-15
YAL060W	0.389509600863217	7.37358331731372	20.294296239553	1.80703688026632e-05	4.32081364468587e-05
YAL061W	2.16812600211347	7.37382991164741	986.432726980218	1.56275277319158e-53	9.55424146433599e-52
YAL062W	-0.226028333853132	5.84629864456199	19.8947657405743	2.14995190555227e-05	5.08615329401515e-05
YAL063C	-0.00526681394447756	5.4098714452065	0.00832301604280625	0.927492298144378	0.941687067930371
YAL063C-A	-0.820477587579507	0.134061945480378	15.7345677292104	0.000137325445516996	0.000293731962432893
YAL064C-A	0.154723856343269	2.46675193376256	2.58093854371221	0.111317828802432	0.148519037315354
YAL064W	-1.125840584826	0.332824853983428	43.2795909207964	2.21414325577499e-09	7.89445245455281e-09
YAL064W-B	0.350675538957652	1.70947337050024	9.153473720908	0.00315744914703025	0.00555582756232523
YAL065C	-0.213721377599761	1.93059265541764	5.47445900856229	0.0376683257207527	0.0553225810632628
YAL067C	-1.14782327064543	2.3204542451108	144.591470909706	4.02862178017965e-21	3.71634399721898e-20
YAL067W-A	-0.297661286655775	-0.899808907338281	0.776586843364949	0.380304970950396	0.443452094025181
YAL068C	0.17225558555873	1.17403616842273	2.02918995468706	0.164679812446619	0.211001296572245
YAR002C-A	-0.212822109516297	7.51691837788096	42.7041516378722	5.09048686931567e-05	0.000115391770690849
YAR002W	0.186763425569329	6.52162798659104	16.2680668725602	0.000311245601269653	0.000632636104797118
YAR003W	-0.18075824405376	5.82155560449414	14.2606541463125	0.000622742058912754	0.00121273980559955
YAR007C	-0.515646124305318	6.38303299416647	249.988988479606	3.97511177908778e-23	4.36422483351961e-22
YAR008W	-0.645411848190478	4.89586433426509	128.183185254227	1.32367418283659e-19	1.0818390831152e-18
YAR009C	2.35096829215464	7.45228113034244	3356.69546854221	1.25939956063642e-78	6.04124281548361e-76
YAR010C	0.295343747059493	6.2395602380683	39.8943420725735	1.27014845052962e-08	4.24017437767809e-08
YAR014C	0.0752823890530966	6.81447954985751	5.43441598099539	0.146566383154779	0.190255613104331
YAR015W	1.28080519391896	7.81532735363063	223.765126589316	3.10220598878492e-27	4.62807572872315e-26
YAR018C	-0.164674910262895	5.39250383578983	22.3221892284853	0.00257331821789525	0.0045849178305128
YAR019C	-0.191433886107239	5.2807595238487	13.1590783887032	0.000525911281367969	0.00103751431528334
YAR020C	-0.366882836697493	2.60877915956507	10.2704684833001	0.00181571815708955	0.00331755594128638
YAR023C	-0.00143557485026592	3.32236973649689	0.000446736096763558	0.985211996134041	0.987270128216597
YAR027W	0.0235262992872708	6.60415974947314	0.148037658784203	0.701236645655931	0.746485442524818
YAR028W	-0.0243538494275483	5.37504868340222	0.204554742123118	0.65634827317089	0.706906361225159
YAR029W	0.173123345341465	2.2873201625267	2.72042636622495	0.102216597023453	0.137464459572623
YAR031W	-0.00438961774338432	4.80839555978853	0.0123415722077085	0.940646408736377	0.952192079783083
YAR033W	0.0195973015215111	4.78144213107351	0.300294636836128	0.740788125358083	0.780989813986984
YAR035C-A	-1.31389047055675	0.0487902877972588	39.4200631245504	8.93809463199925e-09	3.0341838935845e-08
YAR035W	-0.977975114560846	5.08508389177934	100.526089880833	8.86891153422328e-17	5.62630033849607e-16
