	rab.all	rab.win.S	rab.win.W	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
HRA1	-3.5713824572968	-4.01697587739202	-3.10318148829929	0.820241257591645	0.990357505956873	0.747955469337082	0.192208070833284	0.000238816317123109	0.000437502318886412	2.07642688048114e-07	4.80956512469055e-07
ICR1	-0.894178133449721	-0.856767962309099	-0.920890481532996	-0.0669775729932036	0.37110004642031	-0.13813969036318	0.418181865446157	0.101473477408345	0.129244229076084	0.138679280939236	0.16747582602772
LSR1	-1.0574381535884	-1.13841239424668	-0.996066434732932	0.0662759743762136	1.07435991096002	0.0490129183969715	0.466145852553757	0.717875005230195	0.756045646301369	0.56735564633499	0.613517416982911
NME1	-3.86421269326419	-3.78121444968851	-3.96454099154264	-0.190495553443124	1.38634531922126	-0.108247280113442	0.428571469565685	0.267168782657767	0.312876223367139	0.363054642002932	0.403354781838903
NTS1-2	-0.0664030520239711	0.622115979852007	-1.6802129282378	-2.32123900830054	0.519259397685741	-4.52849898704869	0.000182733348482992	2.8148224283178e-43	1.53508541486329e-41	3.10797074170385e-28	1.14726775982246e-26
NTS2-1	1.40974991548178	1.19685697227811	1.60543359189543	0.439647644278185	0.379563042576867	1.04953533885412	0.125000484397421	5.14787343357607e-08	1.44066184054434e-07	1.20048468665505e-11	4.35417841310032e-11
NTS2-2	1.36255996789883	1.14543825878329	1.58908806467877	0.445405352984207	0.381737399967796	1.08038418139505	0.111688861780099	2.02228910292499e-08	5.96386380453419e-08	5.63973383299704e-12	2.13885128393441e-11
PWR1	-3.54321378357585	-3.86213342623478	-3.23215374317223	0.599412861742805	0.959229072915053	0.493591934167905	0.257812678825051	0.00826134265121749	0.0124319172994995	9.07005070526386e-05	0.000163466350124759
Q0045	-8.00993480378861	-7.90872773463704	-8.12581408320828	-0.232262930151848	3.88505395881292	-0.0347319522280482	0.46875001772985	0.619647382547223	0.655089731292086	0.562474506595416	0.601181217477244
Q0085	-9.01445413003969	-8.97321067289113	-9.04410297165066	-0.095295516253465	4.23681432035229	-0.0206420017672219	0.489583339222754	0.545846265686389	0.582898760426606	0.485610911115876	0.524497352586
Q0105	-9.059758050156	-8.84102369843875	-9.26112238104009	-0.392092508911293	3.97459419754151	-0.0912316168007226	0.442708366141839	0.580589490739559	0.61469191977135	0.543675038308584	0.576035103747943
Q0130	-7.4014060492439	-7.14935148098076	-7.70617584709095	-0.571737505443317	3.60265301203869	-0.146367178061122	0.42337666749082	0.334233382364289	0.379937814111103	0.227422201979196	0.264095284556688
Q0250	-8.49889967699557	-8.51744917850113	-8.48154548054403	-0.136805866819115	3.8213852572829	-0.0297083712705203	0.488311694886532	0.582404770808062	0.618409560920271	0.582053546316902	0.618279291905831
Q0255	-9.40621158498949	-9.64016300847039	-9.31031528874824	0.352526997414045	4.24813130580494	0.0714724907921573	0.459740282522272	0.470436114123837	0.512420908016448	0.49581218250448	0.532800546817381
Q0275	-8.98267131391933	-9.09257256580359	-8.86876475884402	0.198752809605478	3.98775456785405	0.0440386892472651	0.480519491488215	0.399786431207856	0.440663648854969	0.443479966136607	0.480801629670023
